image_id,question,answer_type,expected_answer,generated_answer
262189,How many signs?,number,4,4
262189,What color is the Salisbury Rd. sign?,other,white,4
164,How many paper towel rolls?,number,1,1
164,What is the color of the refrigerator?,other,white,1
164,Is the light on?,yes/no,no,1
164,What color is the wall?,other,white,1
283,What is the brand of wine?,other,cupcake,wine
283,What drink is shown?,other,wine,wine
283,What is the table made of?,other,glass,wine
283,What is in the cup?,other,wine,wine
283,What is this bottle?,other,wine,wine
283,What color is the chair in the background?,other,tan,wine
283,Is this a high quality bottle of wine?,yes/no,yes,wine
21900,Is the rider a child or an adult?,other,adult,no
21900,Is the wide gate on hinges?,yes/no,yes,no
21900,Is the horse jumping?,yes/no,no,no
21900,Is the man wearing a helmet?,yes/no,yes,no
21900,What color is the blanket that lays on the horses back?,other,white,no
397,What is the leafy substance?,other,basil,pizza
397,What country did this food originate from?,other,italy,pizza
397,What food item is shown?,other,pizza,pizza
393777,Is a children's show on TV?,yes/no,no,no
393777,How many chairs are there?,number,1,no
393777,Is the boy interested in the stuff he is holding?,yes/no,no,no
393777,What is in the upper corner of the room?,other,curtains,no
393777,Is the room clean or messy?,other,messy,no
393777,Is there a baby?,yes/no,yes,no
699,Are there any people?,yes/no,no,yes
699,Is there a stoplight in the pic?,yes/no,yes,yes
699,What color is the streak?,other,red,yes
393995,What is the cat sitting in?,other,window,yes
393995,Is the cat in front of a window?,yes/no,yes,yes
393995,What is around the cat's neck?,other,collar,yes
394131,Is the plane getting ready to take off?,yes/no,yes,yes
394131,Is it raining in the picture?,yes/no,no,yes
394131,What is wrote on the side of the plane?,other,lufthansa,yes
394131,What airline is advertised on the side of the aircraft?,other,lufthansa,yes
394131,Do planes travel through the earth's atmosphere?,yes/no,yes,yes
263288,What color are the scissor handles?,other,red,red
263288,What kind of supplies are here?,other,office,red
263288,What does the scissors represent on  top of the merchandise?,other,cutting,red
1171,Is this train engine old?,yes/no,yes,yes
1171,Is it evening?,yes/no,yes,yes
1171,What number is on the train?,number,71,yes
263403,Is this an advertisement?,yes/no,yes,yes
263403,Is it raining or is it sunny?,other,sunny,yes
263403,Is the surfer high on the wave?,yes/no,yes,yes
263520,Does this appear to be taken in a zoo?,yes/no,no,no
263520,What is growing in the background?,other,trees,no
263520,What kind of animal is this?,other,giraffe,no
263520,What is the animal?,other,giraffe,no
524535,Are these chicken eggs?,yes/no,no,donut
524535,What color icing is on the doughnuts?,other,white,donut
524535,What pastry is being made?,other,donuts,donut
1626,What material is most dominant in texture in this picture?,other,wood,wood
1626,Are there flowers in the room?,yes/no,yes,wood
1852,What color is the hair?,other,white,white
1852,What kind of flower is that?,other,rose,white
1852,What color is the string?,other,white,white
133087,Are there any people in the picture?,yes/no,no,no
133087,Is there a stadium in the picture?,yes/no,no,no
133087,Is the stop light green?,yes/no,no,no
133087,What color is the street light?,other,white,no
133087,Are there any cars in this photo?,yes/no,no,no
526368,How many cords are on the laptop?,number,1,1
526368,What color are the keys?,other,white,1
133161,What does the sticker say?,other,sunkist,2
133161,What type of fruit has labels?,other,oranges,2
133161,Why are there stickers on the oranges?,other,barcodes,2
133161,Are there lemons also?,yes/no,yes,2
133161,Where are these oranges from?,other,florida,2
133161,How many oranges have a sticker?,number,2,2
395452,What is on the plate?,other,food,no
395452,Is the food burnt?,yes/no,no,no
395452,What color is the dish the food is in?,other,green,no
395452,Would this meal typically be served at breakfast?,yes/no,no,no
395452,What is green?,other,plate,no
2302,What color is the backpack?,other,red,red
2302,How many horses are shown?,number,2,red
2302,Is the lead person wearing a blue cap?,yes/no,yes,red
2302,Are they on a mountain top?,yes/no,yes,red
264769,How many spools of thread are there?,number,1,yes
264769,What color is the tin?,other,blue,yes
264769,Do you see scissors?,yes/no,yes,yes
264769,What color are the candles?,other,blue,yes
264769,What is the person cutting?,other,string,yes
264769,Are the scissors open or closed?,other,closed,yes
264769,What material is the handle of the scissors made of?,other,metal,yes
264769,Is somebody sewing?,yes/no,yes,yes
264769,What color are the pliers?,other,red,yes
133698,Is that marshmallows on top of the pizza?,yes/no,no,no
133698,Is this a split pizza order?,yes/no,yes,no
133698,Is this pizza round?,yes/no,no,no
133969,Are the batter and catcher on the same team?,yes/no,no,4
133969,How many people are sitting on bucket?,number,4,4
3084,What color is the clock?,other,black,yes
3084,What time is it?,number,12:32,yes
3084,Is this clock on a building?,yes/no,yes,yes
3145,Are there any blinds on the windows?,yes/no,yes,yes
3145,Are there any lights on?,yes/no,yes,yes
3145,Is the floor clean?,yes/no,yes,yes
3145,Do the windows have blinds or shades?,other,shades,yes
3145,Does a housekeeper clean these rooms?,yes/no,no,yes
134386,How many fingers is she holding up?,number,5,coffee
134386,What kind of drink is pictured on the wall?,other,coffee,coffee
134386,Are the candles lit?,yes/no,yes,coffee
134386,What is the woman holding?,other,cake,coffee
527631,What kind of sandwich is this?,other,beef,no
527631,What is there to eat besides the sandwich?,other,fries,no
527631,Is the plate round?,yes/no,yes,no
527631,Are the two half's equal?,yes/no,no,no
527631,What kind of food is this?,other,sandwich,no
527631,Is there lettuce in the sandwich?,yes/no,no,no
527631,Will the sandwich eat the fries?,yes/no,no,no
527631,What is featured on the dinner plate?,other,sandwich,no
527631,How many slices of cheese are on this?,number,1,no
527631,What is the utensil on the plate?,other,none,no
527631,Is this an authentic Philly steak and cheese?,yes/no,yes,no
527631,What meat is in the sandwich?,other,beef,no
265635,Is this woman pooping?,yes/no,no,no
265635,How many women are shown?,number,1,no
265635,What is the woman looking at?,other,camera,no
265635,What is she standing upon?,other,map,no
265742,What is the animal shown?,other,elephant,elephant
265742,Where are the trees?,other,forest,elephant
265742,Has this elephant been trained?,yes/no,no,elephant
265742,What is this animal?,other,elephant,elephant
265742,Does this animal have tusks?,yes/no,yes,elephant
265742,What is the elephant standing on?,other,ground,elephant
265777,What color are the glasses?,other,green,green
265777,Is there food on the table?,yes/no,yes,green
265777,What color is the her shirt?,other,red,green
265879,What color is the shirt that says America?,other,black,black
265879,Is the man drinking wine?,yes/no,yes,black
528030,Is the man wearing glasses?,yes/no,no,no
528030,Is this man dressed formal?,yes/no,yes,no
528030,What color is this man's tie?,other,blue,no
266021,What surface are they standing on?,other,sand,ssssssss
266021,What are the people holding?,other,parachute,ssssssss
266021,How many people are holding the sail?,number,2,ssssssss
397109,What is the bench facing?,other,lake,no
397109,Can you see the reflection of the bench in the water?,yes/no,no,no
397109,Anyone on the bench?,yes/no,no,no
22498,Is the man holding a sail?,yes/no,yes,yes
22498,What color is the sky?,other,blue,yes
22498,What color is the water?,other,blue,yes
266176,What color is the vase?,other,clear,yes
266176,How many types of fruits are shown?,number,1,yes
266176,What brand is the plastic container?,other,tupperware,yes
266176,Is this a messy room?,yes/no,yes,yes
266176,What is the yellow object?,other,bananas,yes
266176,Are the bananas ripe?,yes/no,yes,yes
266176,What color is the envelope?,other,white,yes
4069,Is this tow man?,yes/no,no,2
4069,How many bikes are there in the picture?,number,2,2
4069,What's visible in the background?,other,trees,2
4069,Is someone looking at the camera?,yes/no,yes,2
266562,How many hot dogs are there?,number,3,3
266562,Would a vegetarian eat these?,yes/no,no,3
372161,How many zebra are standing next to each other?,number,2,no
372161,Is there a zebra behind the front two?,yes/no,yes,no
372161,Are the zebras twins?,yes/no,no,no
372161,What color is the road?,other,brown,no
372161,Do these animals appear to be distressed?,yes/no,no,no
372161,Is this a color photo?,yes/no,yes,no
372161,Are these animals grazing?,yes/no,no,no
372161,Are all the animals grazing?,yes/no,no,no
153717,What color is the Frisbee?,other,yellow,beer
153717,What is the man holding in his hand?,other,beer,beer
267175,What is hanging from the roof?,other,lights,no
267175,Which room is this?,other,office,no
267175,Do the walls appear to be curved?,yes/no,no,no
267175,Is this an industrial setting?,yes/no,yes,no
267175,Is the chair an office chair or a kitchen table chair?,other,office,no
267175,How many luggage pieces do you see?,number,0,no
267175,Is this a cubicle?,yes/no,yes,no
267175,How many screens are there?,number,2,no
267175,What is this man's job?,other,it,no
267175,Is this a restaurant?,yes/no,no,no
136328,What type of fabric is the hat made of?,other,corduroy,yes
136328,Is the girl posing for the picture?,yes/no,yes,yes
136328,Is there hair on her shirt?,yes/no,yes,yes
136355,What kind of flowers are in the vase?,other,tulips,tul
136355,What is the color of the flowers?,other,red,tul
136355,Are these tulips grown in the home garden or bought from the store?,other,store,tul
136355,How many plants are there?,number,4,tul
136355,What color are the flowers on the wall?,other,green,tul
136355,What is on the table?,other,flowers,tul
136355,Is there more than one type of flower?,yes/no,no,tul
136355,What is made of wood?,other,table,tul
136355,How many flowers are on the counter?,number,6,tul
136355,Is there only one flower?,yes/no,no,tul
529636,What number is the small hand on?,number,2,2
529636,How many clocks?,number,2,2
529636,Is the picture taken from above or below?,other,below,2
529636,How many clocks are on the tower?,number,2,2
529636,What time does this clock read?,number,2:10,2
267664,What time of day is this?,other,afternoon,red
267664,What animal is beside the red chair?,other,cat,red
267664,What color is the chair?,other,red,red
267664,Is there a television in the room?,yes/no,no,red
136600,What brand of laptop is on the desk?,other,apple,no
136600,Is the laptop on?,yes/no,yes,no
136600,How many computing devices are present?,number,1,no
136600,Does the candle match or clash with the colors on the wall?,other,match,no
136600,What brand is the desktop computer?,other,apple,no
136600,What is sitting on the screen?,other,website,no
136600,Are the candles too close to the laptop?,yes/no,no,no
136600,How many jars are in the picture?,number,3,no
136600,How many computers are shown?,number,1,no
5600,Is that some ham?,yes/no,no,no
5600,What type of utensil appears next to the food?,other,spoon,no
5600,What vegetable is shown here?,other,onion,no
5600,What are the bowls made out of?,other,metal,no
529917,Are these people waiters?,yes/no,yes,ties
529917,How many people are in this picture?,number,8,ties
529917,What clothing accessory are all of these servers wearing around their necks?,other,ties,ties
529917,What color ties?,other,black,ties
530013,Which team is the home team?,other,cardinals,baseball
530013,What game are they playing?,other,baseball,baseball
441009,What is the girl sitting on?,other,horse,no
441009,Are all the people in this picture girls?,yes/no,no,no
441009,What is the number of the girl in the black hat?,number,13,no
137003,Is the girl having fun with her kite?,yes/no,yes,yes
137003,What structure is over the girl's left shoulder?,other,kite,yes
137003,What color is the girl's shirt?,other,pink,yes
328730,Which man is dressed more casually?,other,right,yes
328730,What are the men holding?,other,beer,yes
328730,Are the men young?,yes/no,yes,yes
328730,Is anyone in the picture wearing eyeglasses?,yes/no,no,yes
328730,Are all men wearing ties?,yes/no,no,yes
328730,Are the men clean shaven?,yes/no,yes,yes
328730,How many people are here?,number,7,yes
328730,Is everyone having a beer?,yes/no,yes,yes
328730,Is the lady wearing earrings?,yes/no,yes,yes
399542,How many zebras are in the photograph?,number,2,30
399542,Is this zebra looking for food?,yes/no,no,30
399542,How many lines are on the zebras?,number,30,30
399542,Where is this Zebra walking?,other,road,30
530652,Is that a frog?,yes/no,no,red
530652,Who is flying the kite?,other,man,red
530652,Does the kite have a tail?,yes/no,yes,red
530652,Where is this?,other,park,red
530652,What color is his hat and jacket?,other,red,red
530652,Where do you usually find sharks?,other,ocean,red
268725,Is this rider going around a sharp corner?,yes/no,no,no
268725,Is the background in focus?,yes/no,no,no
268725,Will the motorcycle fall over?,yes/no,no,no
268725,What is this guy doing?,other,wheelie,no
268725,Can you see this rider's eyes?,yes/no,no,no
268770,What is forbidden according to the sign?,other,littering,$200
268770,What is not allowed according to the sign?,other,littering,$200
268770,What does the sign say?,number,$200,$200
268966,How many doughnuts are they?,number,1,no
268966,Was this photo taken outdoors?,yes/no,no,no
6845,Are there any animals on the shore?,yes/no,no,yes
6845,What type of animal is pictured?,other,cow,yes
6845,How many cows are there?,number,2,yes
6845,Are the animals in the water?,yes/no,yes,yes
6845,What is the animal standing on?,other,water,yes
138078,Where is this person located?,other,field,yes
138078,What is the primary color of the uniforms?,other,red,yes
138078,Is the boy waiting for the ball to come to him?,yes/no,yes,yes
138078,Do the trees have leaves?,yes/no,yes,yes
138078,What color is the boy's shoes?,other,red,yes
138078,Is the player right or left handed?,other,left,yes
138078,Is the boy playing the infield or outfield?,other,outfield,yes
138078,Does the player catch with his left or right hand?,other,right,yes
459922,Is the animal pooping?,yes/no,yes,cow
459922,What color is truck?,other,black,cow
459922,What is crossing the road?,other,cow,cow
459922,What kind of car is this?,other,suv,cow
