image_id,question,answer_type,expected_answer,generated_answer
262189,How many signs?,number,4,4
262189,What color is the Salisbury Rd. sign?,other,white,white
262189,What does the last sign say?,other,ross st,no
164,How many paper towel rolls?,number,1,1
164,What is the color of the refrigerator?,other,white,white
164,Is the light on?,yes/no,no,no
164,What color is the wall?,other,white,white
283,What is the brand of wine?,other,cupcake,no
283,What drink is shown?,other,wine,wine
283,What is the table made of?,other,glass,leather
283,What is in the cup?,other,wine,bicycles
283,What is this bottle?,other,wine,no
283,What color is the chair in the background?,other,tan,white
283,Is this a high quality bottle of wine?,yes/no,yes,no
21900,Is the rider a child or an adult?,other,adult,yes
21900,Is the wide gate on hinges?,yes/no,yes,no
21900,Is the horse jumping?,yes/no,no,yes
21900,Is the man wearing a helmet?,yes/no,yes,yes
21900,What color is the blanket that lays on the horses back?,other,white,gray
397,What is the leafy substance?,other,basil,bricks
397,What country did this food originate from?,other,italy,yes
397,What food item is shown?,other,pizza,wine
397,What toppings are on the pizza?,other,cheese and oregano,white
393777,Is a children's show on TV?,yes/no,no,yes
393777,How many chairs are there?,number,1,1
393777,Is the boy interested in the stuff he is holding?,yes/no,no,yes
393777,What is in the upper corner of the room?,other,curtains,bricks
393777,Is the room clean or messy?,other,messy,yes
393777,Is there a baby?,yes/no,yes,no
699,Are there any people?,yes/no,no,yes
699,Is there a stoplight in the pic?,yes/no,yes,no
699,What color is the streak?,other,red,red
393995,What is the cat sitting in?,other,window,leather
393995,Is the cat in front of a window?,yes/no,yes,no
393995,What is around the cat's neck?,other,collar,nothing
394131,Is the plane getting ready to take off?,yes/no,yes,no
394131,Is it raining in the picture?,yes/no,no,yes
394131,What is wrote on the side of the plane?,other,lufthansa,net
394131,What airline is advertised on the side of the aircraft?,other,lufthansa,snowboarding
394131,Do planes travel through the earth's atmosphere?,yes/no,yes,no
263288,What color are the scissor handles?,other,red,white
263288,What kind of supplies are here?,other,office,wine
263288,Where are the pins?,other,in box,no
263288,What does the scissors represent on  top of the merchandise?,other,cutting,no
1171,Is this train engine old?,yes/no,yes,yes
1171,Is it evening?,yes/no,yes,yes
1171,What number is on the train?,number,71,no
263403,Is this an advertisement?,yes/no,yes,no
263403,Is it raining or is it sunny?,other,sunny,yes
263403,Is the surfer high on the wave?,yes/no,yes,yes
263520,Does this appear to be taken in a zoo?,yes/no,no,yes
263520,What is growing in the background?,other,trees,net
263520,What kind of animal is this?,other,giraffe,bedroom
263520,What is the animal?,other,giraffe,snowboarding
524535,Are these chicken eggs?,yes/no,no,no
524535,What color icing is on the doughnuts?,other,white,no
524535,What pastry is being made?,other,donuts,no
