image_id,question,answer_type,expected_answer,generated_answer
264769,What material is the handle of the scissors made of?,other,metal,no
133161,Where are these oranges from?,other,florida,bike rack
536110,Are the birds the same size?,yes/no,yes,no
397,What country did this food originate from?,other,italy,yes
245162,What is the number on the bus?,number,266,brown
12016,What kind of trees are here?,other,palm,0
524535,Are these chicken eggs?,yes/no,no,no
527631,Is the plate round?,yes/no,yes,no
530652,What color is his hat and jacket?,other,red,red
546674,What color is the plant?,other,green,green
286719,Do the orange things grow on trees?,yes/no,no,no
15709,How many planes are on the tarmac?,number,3,1
138078,What color is the boy's shoes?,other,red,white
328730,Are the men clean shaven?,yes/no,yes,no
532426,What is the dog sitting in?,other,sidecar,sleeping
6845,How many cows are there?,number,2,2
459922,What kind of car is this?,other,suv,bedroom
154721,What is pictured in the book?,other,motorcycle,train
276969,What kind of animal is shown?,other,horse,wine
403107,Is the computer on?,yes/no,yes,yes
275449,Is there a TV in the photo?,yes/no,no,no
1852,What kind of flower is that?,other,rose,green
4069,Is this tow man?,yes/no,no,yes
269196,Is the wire barbed?,yes/no,no,no
408143,Is there a mushroom in the picture?,yes/no,yes,no
546670,What sport is the boy dressed for?,other,skateboarding,snowboarding
272153,What color is the dog?,other,tan,red
536110,How many birds are in this photo?,number,6,1
393777,How many chairs are there?,number,1,1
401092,Are those pickles or cucumbers?,other,cucumbers,no
266021,How many people are holding the sail?,number,2,1
5600,What are the bowls made out of?,other,metal,no
538513,What kind of plate is it?,other,paper,bedroom
287387,What is in front of the bear?,other,beer,dirt
411674,How many windows on the side of the bus' second level?,number,6,1
461334,Is anyone hatless?,yes/no,no,yes
219820,Is the boat moving?,yes/no,yes,no
412658,What number player is at bat in this baseball game?,number,16,yes
26547,Is the toothbrush in water?,yes/no,yes,no
142919,What is the pizza on?,other,plate,no
14167,What is the building on the left made out of?,other,glass,bricks
268966,How many doughnuts are they?,number,1,1
551167,What color is her shirt?,other,orange,red
530013,What game are they playing?,other,baseball,soccer
212309,Are the men dancing?,yes/no,no,no
268725,What is this guy doing?,other,wheelie,snowboarding
403078,What is on the man's wrist?,other,wetsuit,backpack
26374,What color is the man's hair?,other,black,red
410533,Is the water turned on?,yes/no,no,yes
539413,How many people are wearing blue jeans?,number,5,1
159736,What kind of food is this?,other,cake,wine
1171,What number is on the train?,number,71,no
283,What is this bottle?,other,wine,train
403862,What character is the train patterned after?,other,thomas,no
503978,What color is the bowl?,other,white,green
402626,What color is the sheep?,other,white,brown
154846,What vegetable is on the pizza?,other,mushrooms,white
267175,Is this a cubicle?,yes/no,yes,no
136600,What brand is the desktop computer?,other,apple,no
531967,Is there a toaster oven in the picture?,yes/no,yes,no
414750,What number is in the picture?,number,40,no
409914,What is the name of the man on the screen?,other,unknown,snowboarding
550514,What event do the rings represent?,other,olympics,wine
286313,What kind of stain is on the batter's uniform?,other,dirt,snowboarding
407298,What is this boy holding?,other,baseball,yes
328730,Is the lady wearing earrings?,yes/no,yes,no
276969,Are these pigeons?,yes/no,no,no
138078,Does the player catch with his left or right hand?,other,right,yes
265742,What is the animal shown?,other,elephant,snowboarding
529917,How many people are in this picture?,number,8,7
540619,What is this room?,other,bathroom,bedroom
414212,What is the man holding?,other,toothbrush,snowboarding
12323,What color is the toilet?,other,white,white
266176,Are the bananas ripe?,yes/no,yes,no
276969,Where is the elephant?,other,forest,in car
551921,What is the person standing on?,other,rocks,no
265851,What is the building made of?,other,brick,bricks
26907,In which hand is the boy holding the ball?,other,right,no
539224,What is holding the bear up?,other,nails,no
134386,Are the candles lit?,yes/no,yes,no
463670,What color is this dog's nose?,other,brown,gray
408773,Is the person in a rural area?,yes/no,no,yes
199578,Does the bus have lights inside?,yes/no,yes,no
285992,What time of season is it?,other,spring,8:35
136355,Is there more than one type of flower?,yes/no,no,no
532007,How many horses are there?,number,3,2
8721,Is the laptop on?,yes/no,no,no
12323,Is the toilet seat up or down?,other,up,no
25393,Which man is taller?,other,left,bedroom
288224,What is the bowl made out of?,other,metal,leather
142562,What color is the horse?,other,brown,red
160195,What are the people riding?,other,skateboards,no
267664,What animal is beside the red chair?,other,cat,no
156626,Which bouquet is the largest?,number,middle,no
26363,How many elephants are there in the picture?,number,3,2
26564,Are stationeries in the table?,yes/no,yes,yes
265777,What color are the glasses?,other,green,white
158957,What is the man holding in his left hand?,other,sail,snowboarding
409523,How many large waves are seen?,number,1,1
372161,Are all the animals grazing?,yes/no,no,no
21900,Is the man wearing a helmet?,yes/no,yes,yes
539678,What kind of animal is this?,other,bear,bedroom
21310,What color is the shortest child's pants?,other,pink,red
12323,Is there a lot of privacy here?,yes/no,no,no
290843,How many of the cats look comfortable?,number,1,1
276969,How many horses?,number,5,1
281660,Are the markings graffiti?,yes/no,yes,no
539413,How many different patterns are seen?,number,2,1
461334,What letter is on the uniform?,other,a,1
283101,How many people are in the boat?,number,12,1
550349,Is the person getting on the bus?,yes/no,no,no
270908,What is on his shirt?,other,ball,bicycles
245162,Is this entire picture in color?,yes/no,yes,no
533137,What type of sign is that?,other,map,exit
148957,What is in the box?,other,donuts,bricks
284160,How many stories does this bus have?,number,2,1
8721,Are both of these computer monitors turned on?,yes/no,no,no
290602,Are there any trees in this picture?,yes/no,no,no
8191,How many people are in the center of the photo?,number,6,1
403078,What is this man riding on?,other,surfboard,yes
279974,Is the man ready?,yes/no,yes,yes
133087,Is there a stadium in the picture?,yes/no,no,no
415015,Are these dried flowers?,yes/no,yes,no
159451,What is the vehicle number?,other,w156,train
283,What is the table made of?,other,glass,leather
242189,What kind of footwear is she wearing?,other,sandals,wine
12323,How would one flush the toilet?,other,handle,no
263520,What kind of animal is this?,other,giraffe,bedroom
142919,What green vegetable is on the pizza?,other,arugula,no
403255,What is the man doing?,other,boating,snowboarding
286719,What are the fruit and vegetables being stored in?,other,crates,wine
530652,Does the kite have a tail?,yes/no,yes,no
527631,What kind of food is this?,other,sandwich,wine
137003,Is the girl having fun with her kite?,yes/no,yes,no
138078,Is the boy waiting for the ball to come to him?,yes/no,yes,yes
328730,Is anyone in the picture wearing eyeglasses?,yes/no,no,no
13550,Is the main elephant an adult or an infant?,other,infant,yes
19904,What kind of motorcycles are these?,other,police,bikes
143556,What color is the bike?,other,red,red
264769,What color is the tin?,other,blue,green
529636,How many clocks are on the tower?,number,2,1
263403,Is the surfer high on the wave?,yes/no,yes,yes
9721,What color is the scrolling wheel on the mouse?,other,gray,white
245162,Where is the man with brown coat?,other,sidewalk,yes
164,What color is the wall?,other,white,white
153656,Where are these items at?,other,bathroom,zoo
536110,How many real wings in the sky?,number,12,1
26624,What are the men doing?,other,smiling,snowboarding
536110,How many birds are shown?,number,6,1
272153,What is the man in this picture doing?,other,walking,snowboarding
409914,Where is the TV?,other,ceiling,yes
266562,Would a vegetarian eat these?,yes/no,no,yes
3084,What time is it?,number,12:32,8:35
136328,Is there hair on her shirt?,yes/no,yes,no
154633,How many purple leaves are on the tree?,number,6,1
270708,Is her hair in a bun?,yes/no,yes,yes
532568,How many stop light?,number,4,1
282942,Are there lights on the wall?,yes/no,yes,no
546219,Are these people all the same race?,yes/no,no,no
67569,What kind of plane is pictured?,other,seaplane,no
160195,What color is the man's backpack?,other,black,red
245162,What is the color of the bus?,other,red,brown
26363,How many people are riding?,number,6,1
26564,What kind of room is this?,other,office,bedroom
262189,How many signs?,number,4,4
156626,What's painted on the egg?,other,bunny,no
8721,Are all the computers on?,yes/no,no,no
545867,What material is covering the animal's pen?,other,hay,wine
399542,Where is this Zebra walking?,other,road,no
11320,Was this photo taken this century?,yes/no,no,no
699,What color is the streak?,other,red,red
398097,Is the hydrant open?,yes/no,no,yes
2302,Is the lead person wearing a blue cap?,yes/no,yes,yes
157469,Is the cat interested in the people's video games?,yes/no,no,no
276057,Are the blinds open?,yes/no,yes,no
419216,Is it a nice day outside?,yes/no,yes,yes
12323,What is the position of the window?,other,closed,ball
290843,What is the brand of the laptop?,other,dell,leather
12323,Which way is the toilet paper roll facing?,other,up,no
263288,What does the scissors represent on  top of the merchandise?,other,cutting,no
29125,What time of day was this picture taken?,other,dusk,8:35
395452,What is on the plate?,other,food,bricks
290231,What color is the track?,other,black,white
539413,How many umbrellas are there?,number,7,0
